PLATFRMID,NAME,TYPE,STATUS,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,COMPLEXID,NOSTR,OWNER,OPERNAME,POSREL,COMMODITY,INSTALL,REMOVAL,MANNED24HR,DISTLAND,WATERDEPTH,RIGCOUNT,PWRSOURCE,PWRGENFLAG,OILPRDFLAG,GASMTRFLAG,COMPREFLAG,COMPRDFLAG,HELPRTFLAG,BEDCOUNT,BLOCKNO,LEASENO,AREANUMBER,REGION,LOG_WDEPTH
GOM00001,1,OFFSHORE PLATFORM,REMOVED,29.475144883199999,-93.813003124100007,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,2,1,NOT AVAILABLE,"MERIT ENERGY CO., LLC",THIRD PARTY,NONE,1/5/1998 0:00:00,6/9/2010 0:00:00,N,12,38,0,U,N,N,U,N,U,Y,-999,38,G14878,HI,GULF OF MEXICO,3.637586159726386
GOM00002,C,OFFSHORE PLATFORM,REMOVED,29.175393170300001,-94.371966830399998,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,3,1,NOT AVAILABLE,APACHE CORP.,THIRD PARTY,NONE,2/28/1997 0:00:00,8/8/2013 0:00:00,N,23,54,0,U,N,N,N,N,U,Y,-999,176,G06164,HI,GULF OF MEXICO,3.988984046564275
GOM00003,1,OFFSHORE PLATFORM,REMOVED,28.954166018500000,-93.014756516800006,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,4,1,NOT AVAILABLE,"CAIRN ENERGY USA, INC.",THIRD PARTY,NONE,8/26/1997 0:00:00,6/29/2003 0:00:00,N,50,76,0,U,N,N,Y,N,U,Y,-999,263,G15072,WC,GULF OF MEXICO,4.330733340286331
GOM00004,9,OFFSHORE PLATFORM,REMOVED,29.068306476099998,-89.795079994000005,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,5,1,NOT AVAILABLE,APACHE CORP.,THIRD PARTY,NONE,7/22/1997 0:00:00,11/4/2007 0:00:00,N,15,97,0,G,N,N,U,N,U,N,-999,40,G01072,WD,GULF OF MEXICO,4.574710978503383
GOM00005,CAIS.#21(PLF.CF,OFFSHORE PLATFORM,IN SERVICE,28.898903260000001,-90.504416832299995,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,6,1,CHEVRON USA INC.,CHEVRON USA INC.,THIRD PARTY,BOTH,6/19/1997 0:00:00,,N,11,55,0,U,N,N,N,N,N,N,-999,51,G01240,ST,GULF OF MEXICO,4.007333185232471
GOM00006,B,OFFSHORE PLATFORM,REMOVED,29.115774458499999,-88.768342947999997,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,8,1,CHEVRON USA INC.,WALTER OIL & GAS CORP.,THIRD PARTY,NONE,8/15/1997 0:00:00,9/26/2009 0:00:00,N,16,283,0,U,N,N,U,N,U,Y,-999,313,G04127,MP,GULF OF MEXICO,5.645446897643238
GOM00007,E-1,OFFSHORE PLATFORM,IN SERVICE,29.062329796899999,-91.297177991400005,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,10,1,NOT AVAILABLE,"W & T OFFSHORE, INC.",THIRD PARTY,NONE,8/30/1977 0:00:00,,N,7,15,0,U,N,N,N,N,N,N,-999,32,335,SS,GULF OF MEXICO,2.708050201102210
GOM00008,F,OFFSHORE PLATFORM,REMOVED,29.124564468100001,-91.188470424900004,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,11,1,NOT AVAILABLE,"W & T OFFSHORE, INC.",THIRD PARTY,NONE,8/30/1997 0:00:00,11/28/2010 0:00:00,N,7,15,0,U,N,N,U,N,U,N,-999,29,345,SS,GULF OF MEXICO,2.708050201102210
GOM00009,D,OFFSHORE PLATFORM,REMOVED,28.293985977500000,-93.976308379800003,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,12,1,NOT AVAILABLE,"MARINER ENERGY, INC.",THIRD PARTY,NONE,8/13/1997 0:00:00,9/29/2008 0:00:00,N,93,187,0,U,N,N,N,N,U,Y,-999,A 467,G02688,HI,GULF OF MEXICO,5.231108616854587
GOM00010,6,OFFSHORE PLATFORM,REMOVED,28.853573044699999,-92.142356887399998,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,13,1,NOT AVAILABLE,"W & T OFFSHORE, INC.",THIRD PARTY,NONE,7/20/1997 0:00:00,7/19/2009 0:00:00,N,50,93,0,U,N,N,N,N,U,N,-999,28,G09536,SM,GULF OF MEXICO,4.532599493153256
