PLATFRMID,NAME,TYPE,STATUS,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,COMPLEXID,NOSTR,OWNER,OPERNAME,POSREL,COMMODITY,INSTALL,REMOVAL,MANNED24HR,DISTLAND,WATERDEPTH,RIGCOUNT,PWRSOURCE,PWRGENFLAG,OILPRDFLAG,GASMTRFLAG,COMPREFLAG,COMPRDFLAG,HELPRTFLAG,BEDCOUNT,BLOCKNO,LEASENO,AREANUMBER,REGION,LOG_WDEPTH,INSTALL_DATE,INSTALL_YEAR,residuals
GOM00001,1,OFFSHORE PLATFORM,REMOVED,29.4751448832,-93.8130031241,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,2,1,NOT AVAILABLE,"MERIT ENERGY CO., LLC",THIRD PARTY,NONE,1/5/1998 0:00:00,6/9/2010 0:00:00,N,12,38,0,U,N,N,U,N,U,Y,-999,38,G14878,HI,GULF OF MEXICO,3.637586159726386,1998-01-05,1998,-0.04289653322193088
GOM00002,C,OFFSHORE PLATFORM,REMOVED,29.1753931703,-94.3719668304,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,3,1,NOT AVAILABLE,APACHE CORP.,THIRD PARTY,NONE,2/28/1997 0:00:00,8/8/2013 0:00:00,N,23,54,0,U,N,N,N,N,U,Y,-999,176,G06164,HI,GULF OF MEXICO,3.988984046564275,1997-02-28,1997,0.013757760166646538
GOM00003,1,OFFSHORE PLATFORM,REMOVED,28.9541660185,-93.0147565168,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,4,1,NOT AVAILABLE,"CAIRN ENERGY USA, INC.",THIRD PARTY,NONE,8/26/1997 0:00:00,6/29/2003 0:00:00,N,50,76,0,U,N,N,Y,N,U,Y,-999,263,G15072,WC,GULF OF MEXICO,4.330733340286331,1997-08-26,1997,0.5797942078079519
GOM00004,9,OFFSHORE PLATFORM,REMOVED,29.0683064761,-89.795079994,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,5,1,NOT AVAILABLE,APACHE CORP.,THIRD PARTY,NONE,7/22/1997 0:00:00,11/4/2007 0:00:00,N,15,97,0,G,N,N,U,N,U,N,-999,40,G01072,WD,GULF OF MEXICO,4.574710978503383,1997-07-22,1997,0.32375167801182414
GOM00005,CAIS.#21(PLF.CF,OFFSHORE PLATFORM,IN SERVICE,28.89890326,-90.5044168323,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,6,1,CHEVRON USA INC.,CHEVRON USA INC.,THIRD PARTY,BOTH,6/19/1997 0:00:00,,N,11,55,0,U,N,N,N,N,N,N,-999,51,G01240,ST,GULF OF MEXICO,4.007333185232471,1997-06-19,1997,-0.2598592940410187
GOM00006,B,OFFSHORE PLATFORM,REMOVED,29.1157744585,-88.768342948,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,8,1,CHEVRON USA INC.,WALTER OIL & GAS CORP.,THIRD PARTY,NONE,8/15/1997 0:00:00,9/26/2009 0:00:00,N,16,283,0,U,N,N,U,N,U,Y,-999,313,G04127,MP,GULF OF MEXICO,5.645446897643238,1997-08-15,1997,0.8931243247145044
GOM00007,E-1,OFFSHORE PLATFORM,IN SERVICE,29.0623297969,-91.2971779914,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,10,1,NOT AVAILABLE,"W & T OFFSHORE, INC.",THIRD PARTY,NONE,8/30/1977 0:00:00,,N,7,15,0,U,N,N,N,N,N,N,-999,32,335,SS,GULF OF MEXICO,2.70805020110221,1977-08-30,1977,-1.0182148972671574
GOM00008,F,OFFSHORE PLATFORM,REMOVED,29.1245644681,-91.1884704249,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,11,1,NOT AVAILABLE,"W & T OFFSHORE, INC.",THIRD PARTY,NONE,8/30/1997 0:00:00,11/28/2010 0:00:00,N,7,15,0,U,N,N,U,N,U,N,-999,29,345,SS,GULF OF MEXICO,2.70805020110221,1997-08-30,1997,-0.9469580433846976
GOM00009,D,OFFSHORE PLATFORM,REMOVED,28.2939859775,-93.9763083798,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,12,1,NOT AVAILABLE,"MARINER ENERGY, INC.",THIRD PARTY,NONE,8/13/1997 0:00:00,9/29/2008 0:00:00,N,93,187,0,U,N,N,N,N,U,Y,-999,A 467,G02688,HI,GULF OF MEXICO,5.231108616854587,1997-08-13,1997,0.7099568513202454
GOM00010,6,OFFSHORE PLATFORM,REMOVED,28.8535730447,-92.1423568874,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,13,1,NOT AVAILABLE,"W & T OFFSHORE, INC.",THIRD PARTY,NONE,7/20/1997 0:00:00,7/19/2009 0:00:00,N,50,93,0,U,N,N,N,N,U,N,-999,28,G09536,SM,GULF OF MEXICO,4.532599493153256,1997-07-20,1997,0.644434202630336
